Age,Height,Weight,Foot_Length,Head_Circ,Chest_Circ,Neck_Circ,Waist_Circ,Shoulder_Breadth,Sitting_Ht,SittingKneeHt,SittingEyeHt,NavalHt,Pupils_Dist,ArmSpan,Writing Hand,Gender (1=M)
27,1811,91.6,276,561,1123,381,952,518,945,564,830,1085,60,1780,1,1
40,1780,108,296,570,1175,427,1047,554,906,582,794,1071,70,1977,1,1
33,1740,78.8,259,595,1021,387,851,508,943,512,824,1025,60,1762,1,1
31,1797,94.9,278,582,1115,406,920,522,944,567,826,1080,67,1846,1,1
23,1755,90.6,282,560,1112,390,934,522,896,575,786,1089,59,1827,1,1
29,1842,106.9,286,595,1165,411,1114,551,949,602,821,1118,68,1937,2,1
24,1656,87.4,259,580,1056,401,967,502,868,528,758,1013,66,1733,1,1
26,1776,87.9,272,582,1048,404,1007,504,940,551,813,1034,65,1827,1,1
32,1859,115.4,284,603,1137,412,1109,536,980,605,852,1099,66,1836,2,1
22,1685,79,266,555,1041,412,827,509,926,515,817,997,61,1732,1,1
21,1775,88.7,278,565,1027,390,947,512,951,566,820,1068,62,1811,1,1
26,1825,86.6,290,580,1021,398,881,500,892,619,781,1155,67,2007,1,1
21,1931,80.6,284,584,1001,386,833,512,989,617,866,1197,65,2012,1,1
26,1789,96.6,275,576,1126,415,963,547,952,577,833,1075,66,1857,2,1
36,1819,109.9,281,584,1225,447,1100,562,955,560,848,1084,61,1875,1,1
34,1782,77.1,262,577,1070,387,852,510,933,559,810,1073,63,1824,1,1
23,1721,95.1,259,560,1102,400,941,538,944,532,832,1048,60,1740,1,1
33,1910,111.8,298,606,1194,442,1026,572,968,614,856,1186,73,1989,1,1
30,1804,89.5,276,557,1097,402,978,514,939,572,819,1085,65,1890,1,1
33,1782,106,270,602,1208,441,1150,569,908,574,778,1052,69,1827,1,1
22,1777,95.1,272,570,1116,403,935,544,917,571,812,1082,61,1809,1,1
42,1665,72.1,260,570,995,375,923,483,909,507,797,959,66,1769,1,1
38,1803,87.2,263,578,1092,374,973,514,940,561,820,1093,63,1855,1,1
32,1879,97.8,300,589,1079,416,908,549,945,609,823,1181,74,2022,1,1
30,1733,97.4,249,565,1179,416,1111,542,902,540,789,1023,59,1776,1,1
38,1835,95.8,278,588,1084,414,1031,520,949,585,828,1106,68,1892,1,1
25,1792,112.3,277,585,1150,425,1164,566,955,565,835,1078,64,1819,1,1
39,1721,90,272,581,1098,414,1006,518,938,537,829,1014,65,1749,1,1
27,1711,94.8,262,580,1142,424,1018,532,903,548,789,1038,64,1756,3,1
32,1809,95,268,570,1071,419,992,531,959,562,861,1082,69,1817,1,1
19,1664,73.9,261,558,1021,355,908,489,871,506,756,1013,62,1706,1,1
40,1807,103.6,279,575,1241,424,1053,549,970,568,838,1064,67,1893,1,1
26,1705,77.7,270,582,1027,406,912,487,906,544,795,1019,64,1766,1,1
33,1955,108,299,608,1167,415,1049,560,1009,615,887,1159,64,2076,1,1
30,1730,84,274,575,1082,406,917,533,924,536,811,1022,62,1771,1,1
41,1774,96.4,278,585,1139,420,1066,518,931,564,813,1079,64,1812,1,1
32,1724,70.7,260,565,947,371,848,471,912,543,799,1030,61,1710,1,1
31,1705,70.5,260,593,948,370,759,481,904,533,790,993,65,1762,1,1
36,1838,85.1,274,573,1058,400,959,514,945,580,847,1115,67,1877,1,1
25,1706,86.5,245,588,1102,405,970,524,902,529,781,1019,68,1706,2,1
43,1809,97.2,272,580,1179,395,1068,541,927,586,824,1095,63,1895,2,1
37,1773,82.2,282,570,1028,397,972,486,917,564,804,1075,71,1823,1,1
31,1734,84.2,271,560,1048,395,993,484,923,529,808,1031,66,1746,1,1
38,1748,72.3,268,572,969,360,898,487,914,548,794,1025,60,1821,1,1
32,1651,89.6,262,577,1125,395,964,512,915,507,795,944,64,1689,1,1
20,1724,75.5,275,556,1049,368,881,476,873,552,765,1053,63,1873,1,1
23,1860,73.2,286,577,957,373,821,488,960,590,845,1158,62,1912,1,1
19,1715,70.1,266,580,913,370,801,475,913,537,808,1035,62,1750,1,1
28,1757,78.3,279,575,995,402,845,470,932,549,814,1059,65,1807,2,1
26,1916,116.4,292,577,1237,414,1134,575,1001,609,881,1141,66,1963,2,1
27,1847,79.9,280,565,1018,384,877,516,913,602,799,1143,69,1904,1,1
30,1855,90.8,289,588,1059,396,951,532,937,592,826,1136,65,1969,3,1
25,1718,67.7,261,567,907,372,867,443,930,540,818,1004,64,1757,1,1
38,1641,85.8,257,571,1063,404,1029,519,897,509,799,936,58,1690,1,1
25,1833,85.2,293,550,1017,383,879,505,950,581,836,1114,70,1891,1,1
30,1784,103.3,292,577,1130,431,1015,539,947,563,835,1083,67,1835,1,1
24,1770,103.4,283,595,1156,407,1034,550,932,561,812,1075,63,1856,1,1
26,1702,72.5,247,555,978,361,844,480,918,520,798,1047,56,1721,1,1
29,1800,71.1,255,595,963,369,797,501,946,549,830,1084,63,1843,1,1
31,1715,67.8,265,570,965,370,892,444,897,544,781,1007,66,1801,1,1
24,1842,78.2,277,565,956,388,865,501,991,567,879,1112,60,1803,1,1
43,1710,90.9,276,592,1080,408,1031,510,917,540,800,987,70,1759,1,1
33,1753,84,283,575,1078,419,912,518,905,566,798,1068,70,1882,1,1
24,1935,108.6,278,585,1158,412,1086,529,1030,607,912,1148,66,1934,1,1
39,1738,75.8,258,553,1013,381,914,508,911,545,808,1025,61,1777,1,1
21,1770,83.3,256,565,1037,384,923,504,899,581,787,1064,58,1852,1,1
23,1720,87,277,577,1039,390,918,512,887,564,772,1061,64,1856,2,1
24,1673,72.8,240,562,985,391,831,487,909,513,795,1000,64,1695,3,1
50,1715,110.9,266,583,1285,463,1182,592,949,531,827,987,65,1684,1,1
33,1822,94.5,266,578,1082,387,1054,488,955,572,840,1063,62,1813,2,1
22,1913,114.1,286,560,1157,433,1118,562,1019,588,899,1128,62,1908,1,1
21,1756,90.7,269,582,1049,418,963,511,943,550,820,1041,63,1799,1,1
27,1735,84.6,253,590,1063,398,877,514,920,537,814,1038,61,1776,1,1
21,1726,81.8,285,566,1061,402,912,529,884,553,765,1045,71,1929,3,1
23,1716,86.9,260,557,1120,392,973,547,921,530,810,1004,68,1778,1,1
37,1717,68.2,257,553,913,372,818,471,917,532,800,1041,59,1754,2,1
32,1718,68,262,562,941,390,783,469,884,556,774,1039,65,1764,1,1
28,1747,94.7,284,613,1151,430,1015,549,908,565,786,1052,65,1866,1,1
23,1567,47.4,243,518,810,327,694,430,801,492,688,945,59,1647,1,1
42,1894,115.8,274,621,1163,444,1121,553,1030,581,899,1114,64,1825,2,1
22,1738,72.9,264,546,972,385,870,495,910,547,806,1071,55,1780,1,1
35,1862,107.8,294,603,1091,446,1015,533,954,613,846,1131,68,1950,1,1
