Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Monaco,MCO,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,..,..,..,..
Mongolia,MNG,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,10.74907,..,..,..
Montenegro,MNE,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,1.340541,..,..,..
Morocco,MAR,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,0.1675788,..,..,..
Mozambique,MOZ,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,10.46378,..,..,..
Myanmar,MMR,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,0.1381248,..,..,..
Namibia,NAM,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,12.15148,..,..,..
Nauru,NRU,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,..,..,..,..
Nepal,NPL,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,0.1790999,..,..,..
Netherlands,NLD,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,17.8889,..,..,..
New Caledonia,NCL,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,..,..,..,..
New Zealand,NZL,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,23.67989,..,..,..
Nicaragua,NIC,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,1.436459,..,..,..
Niger,NER,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,1.966941,..,..,..
Nigeria,NGA,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,1.29062,..,..,..
North Macedonia,MKD,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,1.678551,..,..,..
Norway,NOR,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,29.85291,..,..,..
Oman,OMN,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,..,..,..,..
Pakistan,PAK,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,3.478695,..,..,..
